Long,Lat,track_seg_point_id,ele
-115.055935,48.99967,0,826
-115.057842,48.99763,1,822
-115.057547,48.997276,2,823
-115.056761,48.9973,3,827
-115.057034,48.995467,4,830
-115.059054,48.99587,5,822
-115.058962,48.998369,6,817
-115.059948,48.999295,7,816
-115.06341,48.999354,8,816
-115.067811,48.994837,9,820
-115.075213,48.992235,10,831
-115.085303,48.992296,11,826
-115.085489,48.955804,12,811
-115.084958,48.954409,13,812
-115.085589,48.952373,14,814
-115.086131,48.919573,15,818
-115.08245,48.910023,16,822
-115.079241,48.906262,17,806
-115.079187,48.905374,18,793
-115.057749,48.90509,19,816
-115.057411,48.892892,20,793
-115.052153,48.87798,21,786
-115.056072,48.875741,22,792
-115.052917,48.872363,23,817
-115.051608,48.869378,24,829
-115.05028,48.867869,25,830
-115.049449,48.865352,26,835
-115.047416,48.864854,27,846
-115.037897,48.856767,28,826
-115.03402,48.854692,29,821
-115.029441,48.854642,30,810
-115.024467,48.851915,31,826
-115.022045,48.851116,32,843
-115.015957,48.846054,33,865
-115.01314,48.844996,34,864
-115.007813,48.838647,35,869
-115.006345,48.838602,36,868
-115.00127,48.837259,37,887
-114.995377,48.83112,38,899
-114.99053,48.827975,39,882
-114.984852,48.82258,40,860
-114.977749,48.812525,41,847
-114.974987,48.810608,42,845
-114.967314,48.803627,43,848
-114.966452,48.802017,44,852
-114.963033,48.799571,45,853
-114.960916,48.799563,46,851
-114.959334,48.798951,47,854
-114.957176,48.799488,48,851
-114.955037,48.798741,49,852
-114.951307,48.798503,50,855
-114.949124,48.800602,51,870
-114.934575,48.791939,52,868
-114.932016,48.793503,53,871
-114.930105,48.793921,54,870
-114.925261,48.795986,55,875
-114.921588,48.800056,56,877
-114.916734,48.800319,57,881
-114.915275,48.801202,58,882
-114.912456,48.801259,59,882
-114.91095,48.80274,60,886
-114.910686,48.807477,61,889
-114.905405,48.810969,62,894
-114.905229,48.81372,63,895
-114.904139,48.8146,64,896
-114.893649,48.817533,65,907
-114.890263,48.818087,66,907
-114.885799,48.820776,67,935
-114.885635,48.821598,68,946
-114.882379,48.82318,69,957
-114.879461,48.82396,70,962
-114.870741,48.825247,71,1000
-114.867456,48.824777,72,1020
-114.86633,48.826436,73,1016
-114.863472,48.826669,74,1008
-114.85839,48.826245,75,1011
-114.850573,48.827216,76,991
-114.848745,48.828165,77,1006
-114.843192,48.833702,78,1017
-114.839165,48.83858,79,1020
-114.837417,48.843081,80,1032
-114.833714,48.849529,81,1050
-114.830282,48.852369,82,1061
-114.826183,48.857809,83,1088
-114.824366,48.859082,84,1091
-114.820664,48.86331,85,1099
-114.818762,48.86461,86,1099
-114.816898,48.865236,87,1094
-114.814765,48.866982,88,1113
-114.810143,48.86886,89,1113
-114.805847,48.877782,90,1143
-114.80597,48.87968,91,1157
-114.801426,48.886937,92,1194
-114.801293,48.889038,93,1206
-114.800619,48.890275,94,1207
-114.79156,48.892821,95,1222
-114.78783,48.893234,96,1216
-114.780997,48.894704,97,1236
-114.778184,48.894743,98,1236
-114.77746,48.895302,99,1243
-114.774818,48.895328,100,1242
-114.774726,48.898676,101,1258
-114.775533,48.900504,102,1266
-114.775365,48.902745,103,1274
-114.772212,48.907432,104,1288
-114.770769,48.90849,105,1290
-114.770343,48.910165,106,1304
-114.767225,48.911715,107,1299
-114.763544,48.916772,108,1322
-114.757463,48.922759,109,1345
-114.752466,48.929133,110,1383
-114.735637,48.927096,111,1459
-114.72849,48.925359,112,1490
-114.722384,48.922858,113,1498
-114.720374,48.92247,114,1520
-114.714002,48.923214,115,1576
-114.712129,48.923948,116,1589
-114.705897,48.924782,117,1605
-114.7013,48.924485,118,1572
-114.698187,48.92564,119,1572
-114.693313,48.926033,120,1591
-114.693573,48.923423,121,1561
-114.692315,48.92082,122,1556
-114.687646,48.918096,123,1562
-114.685002,48.914224,124,1540
-114.678608,48.910661,125,1530
-114.67902,48.910293,126,1518
-114.676686,48.909497,127,1519
-114.668848,48.909369,128,1528
-114.66804,48.909843,129,1529
-114.656328,48.910703,130,1542
-114.647214,48.913425,131,1525
-114.637424,48.917649,132,1509
-114.631996,48.918072,133,1501
-114.630104,48.916804,134,1508
-114.627587,48.916404,135,1500
-114.627266,48.91691,136,1502
-114.621793,48.91864,137,1481
-114.619923,48.918839,138,1470
-114.615402,48.920222,139,1460
-114.614799,48.920848,140,1459
-114.612457,48.921439,141,1458
-114.607296,48.921768,142,1438
-114.603938,48.92302,143,1426
-114.598269,48.924142,144,1412
-114.595829,48.923611,145,1403
-114.582483,48.923422,146,1386
-114.579758,48.922769,147,1380
-114.56945,48.922693,148,1371
-114.561319,48.923758,149,1370
-114.551131,48.926648,150,1340
-114.544241,48.930925,151,1344
-114.539267,48.933126,152,1324
-114.529909,48.935844,153,1320
-114.527513,48.938519,154,1317
-114.518684,48.940237,155,1294
-114.516823,48.941814,156,1298
-114.510845,48.943308,157,1289
-114.504601,48.943435,158,1284
-114.501998,48.943055,159,1281
-114.499251,48.943384,160,1285
-114.495075,48.942192,161,1281
-114.486746,48.940849,162,1276
-114.48521,48.940226,163,1274
-114.480313,48.93952,164,1270
-114.475825,48.938059,165,1270
-114.47288,48.9376,166,1261
-114.466183,48.937944,167,1257
-114.439654,48.9266,168,1231
-114.435008,48.926096,169,1231
-114.427043,48.926359,170,1221
-114.422416,48.923662,171,1209
-114.419449,48.923118,172,1203
-114.414991,48.923466,173,1197
-114.411032,48.9227,174,1194
-114.408922,48.921649,175,1186
-114.4073,48.919366,176,1192
-114.404131,48.919029,177,1196
-114.39162,48.906907,178,1175
-114.390885,48.9045,179,1165
-114.389202,48.903104,180,1151
-114.389125,48.900477,181,1152
-114.386517,48.897523,182,1149
-114.382785,48.895294,183,1147
-114.380518,48.892718,184,1147
-114.377218,48.891759,185,1147
-114.376891,48.884987,186,1139
-114.378707,48.881483,187,1136
-114.378024,48.877255,188,1137
-114.3785,48.874108,189,1143
-114.377794,48.872814,190,1147
-114.37558,48.871014,191,1136
-114.371936,48.870304,192,1135
-114.369848,48.868656,193,1136
-114.369487,48.861236,194,1135
-114.366932,48.854431,195,1136
-114.363434,48.852425,196,1130
-114.362272,48.849913,197,1127
-114.360776,48.848937,198,1126
-114.35468,48.842819,199,1122
-114.355514,48.839649,200,1131
-114.360979,48.835999,201,1153
-114.360266,48.833471,202,1163
-114.359129,48.831977,203,1164
-114.361548,48.830792,204,1181
-114.36082,48.829861,205,1186
-114.361697,48.828652,206,1186
-114.364174,48.826866,207,1183
-114.361949,48.822364,208,1185
-114.362015,48.819964,209,1183
-114.359789,48.818605,210,1184
-114.359394,48.817671,211,1186
-114.373693,48.817389,212,1208
-114.374299,48.817824,213,1210
-114.378273,48.817907,214,1214
-114.38054,48.817535,215,1213
-114.380931,48.816981,216,1210
-114.394824,48.818275,217,1241
-114.397405,48.81747,218,1243
-114.398671,48.81614,219,1243
-114.403438,48.815025,220,1256
-114.405064,48.813291,221,1268
-114.425582,48.810032,222,1296
-114.430806,48.807846,223,1307
-114.437762,48.805666,224,1319
-114.439998,48.803839,225,1332
-114.443061,48.802208,226,1345
-114.449431,48.800778,227,1356
-114.458725,48.800307,228,1363
-114.463979,48.798974,229,1374
-114.465939,48.798991,230,1372
-114.478773,48.796101,231,1387
-114.486315,48.795217,232,1376
-114.491136,48.793703,233,1389
-114.495813,48.790382,234,1409
-114.499286,48.790018,235,1398
-114.510814,48.785843,236,1425
-114.517503,48.782582,237,1440
-114.520925,48.781933,238,1437
-114.529899,48.775793,239,1461
-114.532972,48.774737,240,1458
-114.538832,48.775964,241,1466
-114.540395,48.775952,242,1472
-114.552785,48.771109,243,1539
-114.55265,48.768433,244,1561
-114.55673,48.766395,245,1587
-114.55956,48.766623,246,1609
-114.560304,48.765978,247,1610
-114.561207,48.767087,248,1623
-114.561907,48.767093,249,1630
-114.563512,48.765406,250,1644
-114.563388,48.763288,251,1666
-114.561177,48.761493,252,1684
-114.561039,48.760281,253,1690
-114.561976,48.759163,254,1691
-114.562702,48.756744,255,1691
-114.564096,48.75509,256,1693
-114.563553,48.753701,257,1695
-114.565213,48.752432,258,1700
-114.567411,48.751827,259,1697
-114.568173,48.750966,260,1698
-114.569459,48.750757,261,1701
-114.572259,48.751371,262,1715
-114.571953,48.749616,263,1696
-114.570967,48.748713,264,1691
-114.571406,48.748124,265,1681
-114.570061,48.744907,266,1655
-114.570362,48.742221,267,1618
-114.568897,48.739566,268,1585
-114.571244,48.736437,269,1553
-114.57754,48.73255,270,1486
-114.578463,48.731484,271,1474
-114.578748,48.730101,272,1471
-114.581597,48.727034,273,1453
-114.582472,48.726715,274,1451
-114.586143,48.722129,275,1442
-114.587561,48.72116,276,1438
-114.58961,48.717226,277,1425
-114.58988,48.71291,278,1390
-114.58885,48.710216,279,1378
-114.584436,48.705287,280,1382
-114.582772,48.70428,281,1386
-114.580606,48.69697,282,1363
-114.579084,48.693807,283,1359
-114.576035,48.689734,284,1361
-114.574214,48.683964,285,1350
-114.575126,48.683938,286,1350
-114.57123,48.679292,287,1351
-114.568214,48.673283,288,1345
-114.566447,48.670931,289,1332
-114.558671,48.663399,290,1309
-114.557864,48.662028,291,1307
-114.552485,48.656674,292,1284
-114.550217,48.655309,293,1277
-114.548329,48.652425,294,1272
-114.546888,48.645677,295,1271
-114.543573,48.642564,296,1284
-114.54166,48.641646,297,1275
-114.540293,48.63911,298,1258
-114.536747,48.636542,299,1258
-114.534508,48.635776,300,1262
-114.531951,48.632848,301,1248
-114.527197,48.629204,302,1244
-114.528475,48.626193,303,1238
-114.524758,48.624019,304,1243
-114.519525,48.623482,305,1245
-114.517952,48.621632,306,1247
-114.516049,48.620932,307,1249
-114.513224,48.618291,308,1249
-114.508995,48.616764,309,1261
-114.502886,48.611352,310,1250
-114.494635,48.607032,311,1253
-114.494824,48.606013,312,1250
-114.494039,48.604653,313,1242
-114.49023,48.601737,314,1223
-114.48986,48.600622,315,1221
-114.487614,48.599422,316,1223
-114.475344,48.590498,317,1230
